,synID,x,y,frame,frameRelat,timeFromLast,distFromLast,cluster,G
0,58506,20.567313215729573,19.36056054070736,1305,1,,,,
1,58506,22.887714952872777,21.35619373280927,1665,1,18000.0,265.2456414289462,,
2,58506,21.50388003004596,22.719914556526795,1725,1,3000.0,168.38190263164515,,
3,58506,23.112123786686844,22.351457528280022,1885,1,8000.0,142.99240087646356,,
4,58506,24.19875974378024,24.08480963165263,1905,1,1000.0,177.30251409477742,,
5,35877,21.434285454171807,20.105737032358917,205,1,,,,
6,35877,21.641971884120164,21.482342639823653,225,1,1000.0,120.6560043352438,,
7,35877,20.706523647913254,21.3260014923209,585,1,18000.0,82.19668110981341,,
8,35877,23.09453381592835,20.82147458579485,725,1,7000.0,211.52960685847492,,
9,35877,21.43641055978346,23.207035773400754,1805,1,54000.0,251.78540752246488,,
10,35877,21.110055157247093,19.088572429647225,2245,1,22000.0,358.052519943537,,
11,93713,22.233484995194253,20.90436017507021,1145,1,,,,
12,93713,22.479937941855898,20.686299719677763,1205,1,3000.0,28.519720718292426,,
13,93713,19.647593020473963,19.371604048797973,2085,1,44000.0,270.62504470110855,,
14,93713,21.500157987729303,20.531826038554485,2125,1,2000.0,189.443812029031,,
15,93713,21.21294955146985,21.371713902771805,2205,1,4000.0,76.92861189175451,,
16,74982,18.280462873860504,18.966407685180428,365,1,,,,
17,74982,22.889504730806976,22.866003083147795,605,1,12000.0,523.2409054510172,,
18,74982,21.71360275852676,22.80020329987154,625,1,1000.0,102.0709699596838,,
19,74982,18.63998924623269,19.47380558731827,1065,1,22000.0,392.51521385118764,,
20,74982,19.369893883264893,20.914211521257727,1225,1,8000.0,139.9480720636414,,
21,74982,23.079473057245128,22.269963627236542,1885,1,33000.0,342.2955206644846,,
22,74982,22.64158144193049,21.815702474093168,1965,1,4000.0,54.68265377383205,,
23,74982,21.098918967055663,19.046002216677252,2245,1,14000.0,274.76278692338644,,
24,74982,20.485332579870786,19.37582674232408,2605,1,18000.0,60.37332409335306,,
25,74982,21.455188622352832,19.358573669273955,2685,1,4000.0,84.06752151069789,,
26,51518,21.933708244246045,22.135318983838737,765,1,,,,
27,51518,18.87900892272321,22.506773439948407,805,1,2000.0,266.6908610251765,,
28,51518,19.439432518119467,21.747960021323955,1765,1,48000.0,81.75534044895765,,
29,51518,23.92198979941229,21.760177254207548,2085,1,16000.0,388.4898900475039,,
30,51518,24.20927414588508,20.94597285475948,2105,1,1000.0,74.82810606172693,,
31,51518,26.75338152656893,17.702938484125728,2265,1,8000.0,357.22826093754696,,
32,50024,21.40461416002416,21.466719174835912,765,1,,,,
33,50024,21.944292300960207,22.239412817150846,1885,1,56000.0,81.68344340185939,,
34,50024,22.20446377664011,20.931508941826404,1905,1,1000.0,115.57262764922052,,
35,50024,22.61036509544688,22.07622830553148,2105,1,10000.0,105.26127595408344,,
36,50024,21.96575306297808,21.006940906453803,2285,1,9000.0,108.20851041944964,,
37,50024,22.29876051325017,18.590018330642533,2645,1,18000.0,211.4455899555744,,
38,50024,23.517924288196568,18.25840628693217,2665,1,1000.0,109.49976082564639,,
39,48628,20.959875027029245,23.127738806991744,205,1,,,,
40,48628,22.9895560329104,19.17766832043477,385,1,9000.0,384.8885791995549,,
41,48628,20.92061766414458,19.276034290508505,985,1,30000.0,179.51060486349647,,
42,48628,21.575981890427396,21.01672809285895,1185,1,10000.0,161.1981325508343,,
