,synID,x,y,frame,frameRelat,timeFromLast,distFromLast,cluster,cluster_o,G
11,93713,22.233484995194253,20.90436017507021,1145,1,,,0.0,0.0,b'\x80\x04\x95\xc1\x01\x00\x00\x00\x00\x00\x00\x8c\x18networkx.classes.digraph\x94\x8c\x07DiGraph\x94\x93\x94)\x81\x94}\x94(\x8c\x05graph\x94}\x94\x8c\x05_node\x94}\x94(K\x00}\x94(\x8c\x01x\x94G@6;\xc5\xac2wN\x8c\x01y\x94G@4\xe7\x84%\xff\xbb<uK\x01}\x94(h\nG@6z\xdd6\x84aqh\x0bG@4\xaf\xb1V\xa3E\x1cuK\x02}\x94(h\nG@3\xa5\xc8\xa7\xfc\r\xb4h\x0bG@3_!qd\xa6\x03uK\x03}\x94(h\nG@5\x80\nZ\x98!jh\x0bG@4\x88%\xc0R\xc0\xb4uK\x04}\x94(h\nG@56\x83\xdc\x9fB\xc9h\x0bG@5_(\xa4o\xdf\x99uu\x8c\x04_adj\x94}\x94(K\x00}\x94K\x01}\x94(\x8c\x0ctimeFromLast\x94G@\xa7p\x00\x00\x00\x00\x00\x8c\x0cdistFromLast\x94G@<\x85\x0b\xb2\xb8\x1c\x95usK\x01}\x94K\x02}\x94(h\x14G@\xb0\x9a\x00\x00\x00\x00\x00h\x15G@g\xb2\xd9\x97\x85O usK\x02}\x94K\x03}\x94(h\x14G@\x810\x00\x00\x00\x00\x00h\x15G@T\x1e\xa9\\U\xb4\xfdusK\x03}\x94K\x04}\x94(h\x14G@\x8c \x00\x00\x00\x00\x00h\x15G@W9\xb1\x19\xf2}\x9cusK\x04}\x94u\x8c\x05_succ\x94h\x11\x8c\x05_pred\x94}\x94(K\x00}\x94K\x01}\x94K\x00h\x13sK\x02}\x94K\x01h\x17sK\x03}\x94K\x02h\x19sK\x04}\x94K\x03h\x1bsuub.'
12,93713,22.479937941855898,20.686299719677763,1205,1,3000.0,28.519720718292426,0.0,0.0,
13,93713,19.647593020473963,19.371604048797973,2085,1,44000.0,270.62504470110855,1.0,-1.0,
14,93713,21.500157987729303,20.531826038554485,2125,1,2000.0,189.443812029031,2.0,-1.0,
15,93713,21.21294955146985,21.371713902771805,2205,1,4000.0,76.92861189175451,3.0,-1.0,
16,74982,18.280462873860504,18.966407685180428,365,1,,,0.0,-1.0,"b'\x80\x04\x95\x1f\x03\x00\x00\x00\x00\x00\x00\x8c\x18networkx.classes.digraph\x94\x8c\x07DiGraph\x94\x93\x94)\x81\x94}\x94(\x8c\x05graph\x94}\x94\x8c\x05_node\x94}\x94(K\x00}\x94(\x8c\x01x\x94G@2G\xccj6\xf9\x19\x8c\x01y\x94G@2\xf7f~zs\xf8uK\x01}\x94(h\nG@6\xe3\xb6\x95\x00t\x08h\x0bG@6\xdd\xb2`\xc8Z\xdeuK\x02}\x94(h\nG@5\xb6\xae\xab\x9e54h\x0bG@6\xcc\xda\x1f\x9b\x19|uK\x03}\x94(h\nG@2\xa3\xd6U\xd2\\qh\x0bG@3yKR\xae1\xaduK\x04}\x94(h\nG@3^\xb1]\x93\x9c\xf8h\x0bG@4\xea\t\xc4)m\xa8uK\x05}\x94(h\nG@7\x14XX\xa5\xc7\xedh\x0bG@6E\x1cV\x16\x17*uK\x06}\x94(h\nG@6\xa4>\xaen\xcf\xdeh\x0bG@5\xd0\xd1\xe0\x99\x7f\x17uK\x07}\x94(h\nG@5\x19R\xc0\xe0uKh\x0bG@3\x0b\xc6\xcd ,\x1cuK\x08}\x94(h\nG@4|>\xc1\x86:th\x0bG@3`6.o>\x80uK\t}\x94(h\nG@5t\x87=\xd6\x84Gh\x0bG@3[\xcb{\xe6\xbd\x05uu\x8c\x04_adj\x94}\x94(K\x00}\x94K\x01}\x94(\x8c\x0ctimeFromLast\x94G@\xb6\x12\x00\x00\x00\x00\x00\x8c\x0cdistFromLast\x94G@s\t\x7f\x06\x06 \x80usK\x01}\x94K\x02}\x94(h\x19G@\x8a\x90\x00\x00\x00\x00\x00h\x1aG@i\x18\xa6\x0e\xa2l\xedusK\x02}\x94K\x03}\x94(h\x19G@\xc1\x17\x00\x00\x00\x00\x00h\x1aG@|\xfe\xc0S\xcd\xbc\x1ausK\x03}\x94K\x04}\x94(h\x19G@\xaa\xf4\x00\x00\x00\x00\x00h\x1aG@v\x04\xe3\x96p\xc1TusK\x04}\x94K\x05}\x94(h\x19G@\xa0h\x00\x00\x00\x00\x00h\x1aG@j%\x1b\xb0y\x06\x0cusK\x05}\x94K\x06}\x94(h\x19G@\x99\x00\x00\x00\x00\x00\x00h\x1aG@[\x97\xd3\xd9#\x82\x80usK\x06}\x94K\x07}\x94(h\x19G@\x84P\x00\x00\x00\x00\x00h\x1aG@7\x9fV\xb4\x8f\x9d\xc0usK\x07}\x94K\x08}\x94(h\x19G@\x8d\xb0\x00\x00\x00\x00\x00h\x1aG@a\xd7\x92\x17\x1e\xec[usK\x08}\x94K\t}\x94(h\x19G@\x8c \x00\x00\x00\x00\x00h\x1aG@c\x05\x87p\x06\x84~usK\t}\x94u\x8c\x05_succ\x94h\x16\x8c\x05_pred\x94}\x94(K\x00}\x94K\x01}\x94K\x00h\x18sK\x02}\x94K\x01h\x1csK\x03}\x94K\x02h\x1esK\x04}\x94K\x03h sK\x05}\x94K\x04h""sK\x06}\x94K\x05h$sK\x07}\x94K\x06h&sK\x08}\x94K\x07h(sK\t}\x94K\x08h*suub.'"
17,74982,22.889504730806976,22.866003083147795,605,1,12000.0,523.2409054510172,1.0,-1.0,
18,74982,21.71360275852676,22.80020329987154,625,1,1000.0,102.0709699596838,2.0,-1.0,
19,74982,18.63998924623269,19.47380558731827,1065,1,22000.0,392.51521385118764,3.0,-1.0,
20,74982,19.369893883264893,20.914211521257727,1225,1,8000.0,139.9480720636414,4.0,-1.0,
